,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,76.17,47,88,4.94,NZ,1612578667
1,hermanus,-34.4187,19.2345,64.0,89,4,1.99,ZA,1612578667
2,cape town,-33.9258,18.4232,68.0,88,0,17.27,ZA,1612578618
3,port elizabeth,-33.918,25.5701,69.8,94,75,6.91,ZA,1612578668
4,the valley,18.217,-63.0578,78.8,65,20,11.5,AI,1612578141
5,belmonte,-15.8631,-38.8828,78.8,83,20,6.91,BR,1612578423
6,coihaique,-45.5752,-72.0662,64.4,63,0,2.3,CL,1612578424
7,kortkeros,61.8106,51.5806,-5.8,84,90,11.18,RU,1612578424
8,fairbanks,64.8378,-147.7164,-7.6,77,90,3.44,US,1612578670
9,punta arenas,-53.15,-70.9167,46.4,66,40,8.05,CL,1612578670
10,klaksvik,62.2266,-6.589,35.6,64,75,13.8,FO,1612578670
11,taurianova,38.3563,16.0109,61.0,19,0,5.01,IT,1612578425
12,mana,5.6592,-53.7767,77.32,85,98,12.59,GF,1612578305
13,aizpute,56.7167,21.6,-4.0,84,40,2.57,LV,1612578425
14,ushuaia,-54.8,-68.3,46.4,76,40,27.63,AR,1612578671
15,cabo san lucas,22.8909,-109.9124,71.6,56,20,11.5,MX,1612578578
16,nalut,30.3333,10.85,57.99,34,83,12.82,LY,1612578426
17,nishihara,26.1842,127.7558,73.4,40,40,6.91,JP,1612578426
18,gejiu,23.306,103.1635,49.51,98,61,4.74,CN,1612578427
19,balabac,7.9868,117.0645,81.63,78,100,11.79,PH,1612578427
20,thompson,55.7435,-97.8558,-22.0,69,40,13.8,CA,1612578672
21,khatanga,71.9667,102.5,-34.82,78,5,6.29,RU,1612578673
22,tamiahua,21.2667,-97.45,70.7,91,22,8.72,MX,1612578428
23,puerto ayora,-0.7393,-90.3518,75.99,96,36,4.0,EC,1612578673
24,rikitea,-23.1203,-134.9692,78.3,72,21,13.47,PF,1612578673
25,cherskiy,68.75,161.3,-13.41,77,31,2.04,RU,1612578074
26,busselton,-33.65,115.3333,66.99,67,100,5.01,AU,1612578674
27,vaini,-21.2,-175.2,82.4,89,75,8.05,TO,1612578674
28,tuktoyaktuk,69.4541,-133.0374,-29.2,68,75,9.22,CA,1612578674
29,macusani,-14.0833,-70.4333,41.14,79,100,4.74,PE,1612578429
30,port alfred,-33.5906,26.891,70.0,93,99,12.33,ZA,1612578675
31,newport news,36.9788,-76.428,46.0,100,40,11.5,US,1612578430
32,sitka,57.0531,-135.33,35.6,87,90,6.91,US,1612578144
33,ust-kulom,61.6864,53.6902,8.98,94,100,11.9,RU,1612578430
34,ponta do sol,32.6667,-17.1,51.01,70,50,5.99,PT,1612578676
35,necochea,-38.5473,-58.7368,69.01,52,0,17.6,AR,1612577987
36,nelson bay,-32.7167,152.15,78.01,88,90,10.36,AU,1612578111
37,albany,42.6001,-73.9662,35.01,80,75,3.44,US,1612578559
38,sur,22.5667,59.5289,63.1,59,0,6.33,OM,1612578205
39,liverpool,53.4106,-2.9779,42.8,93,90,2.3,GB,1612578356
40,ocampo,21.65,-101.5,59.79,25,0,10.29,MX,1612578677
41,new norfolk,-42.7826,147.0587,79.0,49,57,5.99,AU,1612578678
42,bredasdorp,-34.5322,20.0403,60.8,94,0,1.14,ZA,1612578678
43,yellowknife,62.456,-114.3525,-32.8,61,75,9.22,CA,1612578607
44,ozerne,50.1782,28.7338,19.42,93,100,3.87,UA,1612578433
45,kapaa,22.0752,-159.319,71.6,56,1,8.05,US,1612578679
46,clonakilty,51.6231,-8.8706,41.0,93,75,8.05,IE,1612578434
47,shar,49.5886,81.0453,21.65,94,100,11.32,KZ,1612578434
48,bluff,-46.6,168.3333,60.84,70,11,7.11,NZ,1612578680
49,maceio,-9.6658,-35.7353,75.2,88,0,6.91,BR,1612578680
50,eatonton,33.3268,-83.3885,48.2,61,1,3.71,US,1612578435
51,pokhara,28.2333,83.9833,51.64,42,41,5.99,NP,1612578435
52,gazli,40.1333,63.45,49.59,46,78,13.11,UZ,1612578435
53,whitehorse,60.7161,-135.0538,-4.0,71,75,2.3,CA,1612578390
54,tautira,-17.7333,-149.15,84.2,65,75,10.36,PF,1612578436
55,gaoua,10.2992,-3.2508,78.21,18,100,3.06,BF,1612578436
56,victoria,22.2855,114.1577,70.0,72,0,4.5,HK,1612578480
57,vestmannaeyjar,63.4427,-20.2734,40.82,69,98,27.49,IS,1612578437
58,katangli,51.7102,143.2326,-0.2,89,97,9.75,RU,1612578437
59,meiktila,20.8667,95.8667,74.71,37,0,5.01,MM,1612578437
60,corinto,37.9407,22.9573,51.01,93,20,3.44,GR,1612578438
61,rtishchevo,52.2604,43.7874,6.51,94,100,13.65,RU,1612578438
62,bilibino,68.0546,166.4372,-6.86,79,100,3.58,RU,1612578438
63,linao,7.1678,124.9675,85.84,57,14,2.64,PH,1612578438
64,batagay-alyta,67.8006,130.4114,-25.2,83,100,1.9,RU,1612578144
65,jamestown,42.097,-79.2353,23.0,79,90,10.36,US,1612578684
66,benghazi,32.1167,20.0667,60.64,63,0,8.43,LY,1612578439
67,east london,-33.0153,27.9116,73.67,90,96,10.78,ZA,1612578685
68,chuy,-33.6971,-53.4616,59.11,89,0,5.3,UY,1612578685
69,hobart,-42.8794,147.3294,79.0,46,40,14.97,AU,1612578685
70,vao,-22.6667,167.4833,78.96,79,1,10.13,NC,1612578686
71,aklavik,68.2191,-135.0107,-20.2,69,1,3.44,CA,1612578206
72,atuona,-9.8,-139.0333,79.43,81,20,18.01,PF,1612578686
73,carnarvon,-24.8667,113.6333,84.2,100,90,25.32,AU,1612578686
74,juneau,58.3019,-134.4197,28.99,86,90,4.34,US,1612578232
75,narsaq,60.9167,-46.05,14.0,57,0,2.3,GL,1612578687
76,kaeo,-35.1,173.7833,70.88,64,92,7.07,NZ,1612578687
77,highland springs,37.546,-77.3278,46.4,34,40,12.66,US,1612578442
78,chokurdakh,70.6333,147.9167,-19.48,85,0,12.24,RU,1612578688
79,upernavik,72.7868,-56.1549,8.15,73,100,4.94,GL,1612578688
80,marrakesh,31.6315,-8.0083,50.0,93,89,6.91,MA,1612578324
81,tasiilaq,65.6145,-37.6368,26.6,74,90,8.05,GL,1612578688
82,georgetown,5.4112,100.3354,84.99,65,20,3.44,MY,1612578586
83,tuatapere,-46.1333,167.6833,66.47,68,19,8.21,NZ,1612578689
84,hilo,19.7297,-155.09,75.2,60,90,9.22,US,1612578689
85,larsnes,62.2028,5.5773,26.6,59,90,9.22,NO,1612578444
86,puerto escondido,15.85,-97.0667,80.6,69,75,5.75,MX,1612578001
87,saint-philippe,-21.3585,55.7679,78.8,65,20,6.91,RE,1612578690
88,norman wells,65.282,-126.8329,-36.4,74,20,3.44,CA,1612578690
89,grand gaube,-20.0064,57.6608,73.99,89,0,1.99,MU,1612578286
90,vanimo,-2.6741,141.3028,81.03,74,90,4.27,PG,1612578103
91,dalby,-27.1833,151.2667,86.0,35,99,5.75,AU,1612578445
92,port augusta,-32.5,137.7667,73.4,53,90,12.66,AU,1612578691
93,lorengau,-2.0226,147.2712,84.0,72,62,2.44,PG,1612578692
94,borovoy,55.4333,86.0833,15.8,92,90,6.71,RU,1612578151
95,caucaia,-3.7361,-38.6531,81.0,78,40,9.22,BR,1612578446
96,les cayes,18.2,-73.75,76.23,82,31,5.08,HT,1612578447
97,tigil,57.8,158.6667,4.8,90,100,3.06,RU,1612578693
98,san cristobal,7.7669,-72.225,67.84,79,100,1.66,VE,1612578693
99,barrow,71.2906,-156.7887,-9.4,77,75,9.22,US,1612578694
100,bara,10.3744,10.7288,68.95,24,0,8.61,NG,1612578448
101,mount gambier,-37.8333,140.7667,68.0,56,40,17.27,AU,1612578694
102,kulhudhuffushi,6.6221,73.07,81.82,71,54,10.09,MV,1612578448
103,razole,16.4833,81.8333,69.8,83,0,4.61,IN,1612578449
104,shuya,56.8487,41.3883,1.27,92,99,9.86,RU,1612578449
105,antofagasta,-23.65,-70.4,66.2,72,90,8.05,CL,1612578131
106,tarakan,3.3,117.6333,82.4,78,75,5.75,ID,1612578450
107,sayansk,54.1088,102.1648,2.68,94,100,3.15,RU,1612578450
108,qaanaaq,77.484,-69.3632,-1.25,79,100,7.56,GL,1612578696
109,grand-santi,4.25,-54.3833,72.45,96,96,2.51,GF,1612578450
110,monte azul paulista,-20.9072,-48.6414,70.32,85,5,4.72,BR,1612578451
111,adrar,20.5022,-10.0711,58.42,49,91,12.59,MR,1612578697
112,paita,-5.0892,-81.1144,75.2,74,41,14.36,PE,1612578451
113,male,4.1748,73.5089,80.6,83,75,5.75,MV,1612578325
114,dikson,73.5069,80.5464,-30.59,85,36,10.07,RU,1612578697
115,treinta y tres,-33.2333,-54.3833,56.7,90,0,5.06,UY,1612578452
116,elk city,35.412,-99.4043,44.6,33,1,5.75,US,1612578453
117,broken hill,-31.95,141.4333,77.0,38,0,16.11,AU,1612578113
118,the pas,53.8251,-101.2541,-18.4,69,1,18.41,CA,1612578453
119,haines junction,60.7522,-137.5108,-16.6,76,100,1.14,CA,1612578454
120,beringovskiy,63.05,179.3167,-5.89,87,95,6.46,RU,1612578109
121,mount isa,-20.7333,139.5,91.4,40,40,8.05,AU,1612578278
122,high level,58.5169,-117.136,-23.8,83,1,3.44,CA,1612578700
123,killam,52.7834,-111.8518,-18.4,83,98,2.3,CA,1612578455
124,progreso,21.2833,-89.6667,78.01,64,1,5.75,MX,1612578455
125,atambua,-9.1061,124.8925,79.16,83,99,8.75,ID,1612578455
126,kutum,14.2,24.6667,45.95,55,96,10.29,SD,1612578455
127,kavieng,-2.5744,150.7967,83.52,72,48,0.65,PG,1612578701
128,shinpokh,34.3292,71.1782,46.4,81,0,4.61,PK,1612578456
129,dunhua,43.3725,128.2425,21.15,96,100,4.05,CN,1612578457
130,umm lajj,25.0213,37.2685,66.33,56,0,6.44,SA,1612578680
131,katsuura,35.1333,140.3,54.0,53,20,8.05,JP,1612578703
132,lima,-12.0432,-77.0282,73.99,78,0,9.22,PE,1612578430
133,saint george,37.1041,-113.5841,53.6,26,1,4.61,US,1612578547
134,sorland,67.667,12.6934,34.27,86,100,27.0,NO,1612578458
135,hauterive,46.0901,3.4459,41.0,93,90,2.77,FR,1612578458
136,sao filipe,14.8961,-24.4956,69.78,75,12,13.31,CV,1612578458
137,castro,-24.7911,-50.0119,57.29,65,0,4.38,BR,1612578704
138,sergeyevka,53.88,67.4158,34.18,98,100,12.71,KZ,1612578459
139,asau,46.4333,26.4,33.01,75,100,1.03,RO,1612578459
140,pontianak,-0.0333,109.3333,80.6,83,20,6.91,ID,1612578459
141,santa fe,-31.6333,-60.7,75.0,66,0,1.01,AR,1612578262
142,inhambane,-23.865,35.3833,77.4,89,95,7.38,MZ,1612578460
143,torbay,47.6666,-52.7314,35.01,93,75,27.63,CA,1612578706
144,suzun,53.7841,82.3116,23.76,98,93,5.19,RU,1612578460
145,tanout,14.9709,8.8879,61.32,29,0,13.73,NE,1612578461
146,leningradskiy,69.3833,178.4167,-9.18,88,100,8.19,RU,1612578706
147,lubango,-14.9172,13.4925,63.28,44,90,3.89,AO,1612578461
148,livingston,55.9029,-3.5226,37.4,100,90,18.41,GB,1612578462
149,ketchikan,55.3422,-131.6461,35.6,100,90,6.91,US,1612578297
150,agadez,19.75,10.25,53.76,39,0,1.36,NE,1612578462
151,mazamari,-11.3258,-74.5308,71.11,82,100,1.39,PE,1612578462
152,willowmore,-33.2926,23.4895,63.91,81,2,2.33,ZA,1612578463
153,luderitz,-26.6481,15.1594,68.77,53,0,19.39,NA,1612578708
154,ormara,25.2088,64.6357,65.05,54,0,5.19,PK,1612578463
155,avarua,-21.2078,-159.775,84.2,74,75,3.44,CK,1612578585
156,athabasca,54.7169,-113.2854,-20.2,76,88,1.14,CA,1612578464
157,geraldton,-28.7667,114.6,68.0,73,90,20.71,AU,1612578671
158,svetlogorsk,52.6333,29.7333,11.07,96,83,7.14,BY,1612578464
159,mar del plata,-38.0023,-57.5575,71.01,55,0,4.61,AR,1612578710
160,kodiak,57.79,-152.4072,39.2,56,1,13.8,US,1612578710
161,nikolskoye,59.7035,30.7861,10.99,78,75,11.18,RU,1612578710
162,saldanha,-33.0117,17.9442,62.6,88,0,10.36,ZA,1612578710
163,great falls,47.5002,-111.3008,8.01,78,90,18.41,US,1612578465
164,chapais,49.7834,-74.8492,23.0,93,90,13.8,CA,1612578465
165,fortuna,40.5982,-124.1573,50.0,93,90,6.91,US,1612578711
166,palaikastron,35.2,26.25,55.0,88,0,1.77,GR,1612578466
167,solnechnyy,50.7214,136.6319,-5.78,85,83,5.23,RU,1612578712
168,zakharovo,54.366,39.2792,2.75,93,95,11.23,RU,1612578467
169,pevek,69.7008,170.3133,-13.5,85,100,1.92,RU,1612578713
170,cidreira,-30.1811,-50.2056,66.25,77,0,12.39,BR,1612578705
171,fenyi,27.8112,114.6681,58.14,73,29,0.96,CN,1612578468
172,bonavista,48.6499,-53.1147,35.01,100,100,6.91,CA,1612578713
173,daman,20.4167,72.85,65.41,39,10,10.65,IN,1612578468
174,saskylakh,71.9167,114.0833,-33.65,83,73,3.6,RU,1612578714
175,pontes e lacerda,-15.2261,-59.3353,72.72,75,97,1.86,BR,1612578469
176,karratha,-20.7377,116.8463,83.77,64,43,12.82,AU,1612578714
177,ndele,8.4109,20.6473,71.96,22,17,10.58,CF,1612578469
178,kontagora,10.3999,5.4695,72.41,21,74,6.46,NG,1612578716
179,naifaru,5.4444,73.3657,81.59,72,100,8.23,MV,1612578470
180,linxia,35.6003,103.2064,32.09,66,100,1.54,CN,1612578470
181,plettenberg bay,-34.0527,23.3716,66.38,84,0,5.75,ZA,1612578470
182,sao joao da barra,-21.6403,-41.0511,76.15,93,100,3.94,BR,1612578717
183,lebu,-37.6167,-73.65,56.98,93,12,0.87,CL,1612578718
184,guerrero negro,27.9769,-114.0611,59.83,71,0,15.3,MX,1612578718
185,butaritari,3.0707,172.7902,81.18,81,20,18.45,KI,1612578718
186,terrace bay,48.7834,-87.1,3.2,72,100,5.75,CA,1612578472
187,kangaatsiaq,68.3065,-53.4641,11.12,82,100,13.82,GL,1612578472
188,oistins,13.0667,-59.5333,78.8,61,20,23.02,BB,1612578473
189,palmares do sul,-30.2578,-50.5097,67.08,73,1,11.59,BR,1612578473
190,mujiayingzi,42.1167,118.7833,21.94,91,0,3.85,CN,1612578148
191,harper,4.375,-7.7169,78.96,89,2,7.67,LR,1612578473
192,kahului,20.8947,-156.47,73.4,56,40,8.05,US,1612578720
193,harlingen,26.1906,-97.6961,62.01,100,90,12.66,US,1612578349
194,petropavlovsk-kamchatskiy,53.0452,158.6483,14.0,52,75,13.42,RU,1612578036
195,tiksi,71.6872,128.8694,-24.0,87,100,3.44,RU,1612578721
196,faanui,-16.4833,-151.75,81.64,64,3,4.25,PF,1612578722
197,dawson creek,55.7666,-120.2362,-9.4,70,75,6.91,CA,1612578134
198,ivybridge,50.3904,-3.9191,37.99,96,1,5.35,GB,1612578475
199,shonguy,68.7526,33.146,6.8,92,75,8.01,RU,1612578476
200,alofi,-19.0595,-169.9187,78.8,89,100,12.66,NU,1612578131
201,jumla,29.2747,82.1838,26.76,83,98,4.81,NP,1612578476
202,san juan,-31.5375,-68.5364,81.55,31,0,6.38,AR,1612578476
203,pitimbu,-7.4706,-34.8086,78.8,83,0,4.61,BR,1612578477
204,balakhta,55.38,91.6,5.65,92,98,2.48,RU,1612578477
205,chokwe,-24.5333,32.9833,74.79,91,99,5.55,MZ,1612578477
206,manuk mangkaw,4.8,119.85,80.76,79,100,9.08,PH,1612578478
207,salalah,17.0151,54.0924,68.0,68,0,3.44,OM,1612578478
208,chakia,26.4167,85.05,61.21,62,100,5.86,IN,1612578478
209,hervey bay,-25.2986,152.8535,88.0,45,40,8.05,AU,1612578478
